"IEAcode","N3code","Name","toLabel"
"344","HKG","China (Hong Kong)","1"
"446","MAC","China (Macao)","1"
"926","ENG","United Kingdom (England)","1"
"928","NIR","United Kingdom (Northern Ireland)","1"
"956","BFL","Belgium (Flemish)","1"
"957","BFR","Belgium (French)","1"
"7106","ZA6","South Africa (Grade 6)","0"
"7841","ADU","United Arab Emirates (Dubai)","1"
"7842","AAD","United Arab Emirates (Abu Dhabi)","1"
"9130","CNL","Canada (Newfoundland and Labrador)","0"
"9133","CQU","Canada (Quebec)","0"
"9134","CAB","Canada (Alberta)","0"
"9135","CBC","Canada (British Columbia)","0"
"643001","RMO","Russia (Moscow)","0"
"927","SCO","United Kingdom (Scotland)","1"
"3724","BSQ","Spain (Basque Country)","0"
"9132","COT","Canada (Ontario)","0"
"12500","UMA","United States (Massachusetts)","0"
"12700","UMN","United States (Minnesota)","0"
"891","SCG","Serbia","1"
"5784","NO4","Norway (4)","0"
"7105","ZA5","South Africa (Eng/Afr)","0"
"32001","ABA","Argentina (Buenos Aires)","0"
"72401","EAN","Spain (Andalucia)","0"
"724005","EMA","Spain (Madrid)","0"
"3752","SE3","Sweden (Grade 3)","0"
"9642","ROU","Romania","1"
"276001","DNW","Germany (North-Rhine Westphalia)","0"
"276005","DSH","Germany (Schleswig-Holstein)","0"
"9136","CNS","Canada (Nova Scotia)","0"
"9352","IS5","Iceland (Grade 5)","0"
"9578","NO5","Norway (Grade 5)","0"
"6504","MA6","Morocco (Grade 6)","0"
"9470","MLN","Malta (Maltese)","0"
"11800","UIN","United States (Indiana)","0"
"200","CZE","Czechia","1"
"6431","RUM","Russia (Moscow)","0"
"7241","ECT","Spain (Catalonia)","0"
"710003","ZGT","South Africa (Gauteng)","0"
"710004","ZWC","South Africa (Western Cape Province)","0"
"9137","CNL","Canada (Newfoundland and Labrador)","0"
"208001","DN3","Denmark (Grade 3)","0"
"6887","YE6","Yemen (Grade 6)","0"
"8","ALB","Albania","1"
"31","AZE","Azerbaijan","1"
"36","AUS","Australia","1"
"40","AUT","Austria","1"
"48","BHR","Bahrain","1"
"76","BRA","Brazil","1"
"100","BGR","Bulgaria","1"
"158","TWN","Taiwan","1"
"191","HRV","Croatia","1"
"196","CYP","Cyprus","1"
"203","CZE","Czechia","1"
"208","DNK","Denmark","1"
"246","FIN","Finland","1"
"250","FRA","France","1"
"268","GEO","Georgia","1"
"276","DEU","Germany","1"
"348","HUN","Hungary","1"
"364","IRN","Iran","1"
"372","IRL","Ireland","1"
"376","ISR","Israel","1"
"380","ITA","Italy","1"
"398","KAZ","Kazakhstan","1"
"400","JOR","Jordan","1"
"411","XKX","Kosovo","1"
"428","LVA","Latvia","1"
"440","LTU","Lithuania","1"
"470","MLT","Malta","1"
"499","MNE","Montenegro","1"
"504","MAR","Morocco","1"
"512","OMN","Oman","1"
"528","NLD","Netherlands","1"
"554","NZL","New Zealand","1"
"578","NOR","Norway","1"
"616","POL","Poland","1"
"620","PRT","Portugal","1"
"634","QAT","Qatar","1"
"643","RUS","Russia","1"
"682","SAU","Saudi Arabia","1"
"688","SRB","Serbia","1"
"702","SGP","Singapore","1"
"703","SVK","Slovakia","1"
"705","SVN","Slovenia","1"
"710","ZAF","South Africa","1"
"724","ESP","Spain","1"
"752","SWE","Sweden","1"
"784","ARE","United Arab Emirates","1"
"792","TUR","Turkey","1"
"807","MKD","North Macedonia","1"
"818","EGY","Egypt","1"
"840","USA","United States","1"
"860","UZB","Uzbekistan","1"
"12","DZA","Algeria","1"
"51","ARM","Armenia","1"
"70","BIH","Bosnia and Herzegovina","1"
"72","BWA","Botswana","1"
"170","COL","Colombia","1"
"222","SLV","El Salvador","1"
"275","PSE","Palestine","1"
"288","GHA","Ghana","1"
"360","IDN","Indonesia","1"
"392","JPN","Japan","1"
"410","KOR","South Korea","1"
"414","KWT","Kuwait","1"
"422","LBN","Lebanon","1"
"458","MYS","Malaysia","1"
"496","MNG","Mongolia","1"
"642","ROU","Romania","1"
"760","SYR","Syria","1"
"764","THA","Thailand","1"
"788","TUN","Tunisia","1"
"804","UKR","Ukraine","1"
"5788","NO8","Norway (8)","0"
"152","CHL","Chile","1"
"214","DOM","Dominican Republic","1"
"233","EST","Estonia","1"
"300","GRC","Greece","1"
"320","GTM","Guatemala","1"
"438","LIE","Liechtenstein","1"
"442","LUX","Luxembourg","1"
"484","MEX","Mexico","1"
"600","PRY","Paraguay","1"
"756","CHE","Switzerland","1"
"124","CAN","Canada","1"
"780","TTO","Trinidad and Tobago","1"
"231","ETH","Ethiopia","1"
"356","IND","India","1"
"404","KEN","Kenya","1"
"646","RWA","Rwanda","1"
"854","BFA","Burkina Faso","1"
"858","URY","Uruguay","1"
"32","ARG","Argentina","1"
"84","BLZ","Belize","1"
"352","ISL","Iceland","1"
"498","MDA","Moldova","1"
"608","PHL","Philippines","1"
"887","YEM","Yemen","1"
"340","HND","Honduras","1"
"826","GBR","United Kingdom","1"
"643002","RTR","Russia (8+ sample)","0"
"586","PAK","Pakistan","1"
"604","PER","Peru","1"
"7843","ASH","United Arab Emirates (Sharjah)","1"
"384","CIV","Cote d'Ivoire","1"
"642","ROM","Romania","1"
