"S1","S2","Y","G","Pop","preName","Name","R1","uID","STUDcbind","STUDrbind","SCHcbind"
"CIVED","-","1999","12","CS_F2","CIVED_1999_G12","CIVED_1999_G12_student","student","IDCNTRY;IDSTUD","-","-","-"
"CIVED","-","1999","8","BC_F2","CIVED_1999_G8","CIVED_1999_G8_school","school","IDCNTRY;IDSCHOOL","-","-","-"
"CIVED","-","1999","8","BL_F2","CIVED_1999_G8","CIVED_1999_G8_link","link","IDCNTRY;IDSTUD;IDLINK","-","-","-"
"CIVED","-","1999","8","BS_F2","CIVED_1999_G8","CIVED_1999_G8_student","student","IDCNTRY;IDSTUD","-","-","BC_F2"
"CIVED","-","1999","8","BT_F2","CIVED_1999_G8","CIVED_1999_G8_teacher","teacher","IDCNTRY;IDTEACH;IDLINK","-","-","BC_F2"
"PIRLS","ePIRLS","2016","-","ACGE1","PIRLS_ePIRLS_2016","PIRLS_ePIRLS_2016_school","school","IDCNTRY;IDSCHOOL","-","-","-"
"PIRLS","ePIRLS","2016","-","ASAE1","PIRLS_ePIRLS_2016","PIRLS_ePIRLS_2016_student_achievement","student","IDCNTRY;IDSTUD","ASGE1;ASHE1","-","ACGE1"
"PIRLS","ePIRLS","2016","-","ASGE1","PIRLS_ePIRLS_2016","PIRLS_ePIRLS_2016_student_background","student","IDCNTRY;IDSTUD","-","-","-"
"PIRLS","ePIRLS","2016","-","ASHE1","PIRLS_ePIRLS_2016","PIRLS_ePIRLS_2016_student_homebg","student","IDCNTRY;IDSTUD","-","-","-"
"PIRLS","ePIRLS","2016","-","ASRE1","PIRLS_ePIRLS_2016","PIRLS_ePIRLS_2016_student_reliability","student","-","-","-","-"
"PIRLS","ePIRLS","2016","-","ASTE1","PIRLS_ePIRLS_2016","PIRLS_ePIRLS_2016_link","link","IDCNTRY;IDSTUD;IDLINK","-","-","-"
"PIRLS","ePIRLS","2016","-","ATGE1","PIRLS_ePIRLS_2016","PIRLS_ePIRLS_2016_teacher","teacher","IDCNTRY;IDTEACH;IDLINK","-","-","ACGE1"
"ICCS","-","2009","8","ICGC2","ICCS_2009_G8","ICCS_2009_G8_school","school","IDCNTRY;IDSCHOOL","-","-","-"
"ICCS","-","2009","8","ISAC2","ICCS_2009_G8","ICCS_2009_G8_student_achievement","student","IDCNTRY;IDSTUD","ISGC2","ISEC2;ISLC2;ISSC2","ICGC2"
"ICCS","-","2009","8","ISEC2","ICCS_2009_G8","ICCS_2009_G8_student_european","student","IDCNTRY;IDSTUD","-","-","-"
"ICCS","-","2009","8","ISGC2","ICCS_2009_G8","ICCS_2009_G8_student_background","student","IDCNTRY;IDSTUD","-","-","-"
"ICCS","-","2009","8","ISLC2","ICCS_2009_G8","ICCS_2009_G8_student_latinamerican","student","IDCNTRY;IDSTUD","-","-","-"
"ICCS","-","2009","8","ISRC2","ICCS_2009_G8","ICCS_2009_G8_student_reliability","student","-","-","-","-"
"ICCS","-","2009","8","ISSC2","ICCS_2009_G8","ICCS_2009_G8_student_asian","student","IDCNTRY;IDSTUD","-","-","-"
"ICCS","-","2009","8","ITGC2","ICCS_2009_G8","ICCS_2009_G8_teacher","teacher","IDCNTRY;IDTEACH","-","-","ICGC2"
"ICCS","-","2009","9","JSAC2","ICCS_2009_G9","ICCS_2009_G9_student_achievement","student","IDCNTRY;IDSTUD","JSGC2","JSEC2","ICGC2"
"ICCS","-","2009","9","JSEC2","ICCS_2009_G9","ICCS_2009_G9_student_european","student","IDCNTRY;IDSTUD","-","-","-"
"ICCS","-","2009","9","JSGC2","ICCS_2009_G9","ICCS_2009_G9_student_background","student","IDCNTRY;IDSTUD","-","-","-"
"ICCS","-","2009","9","JSRC2","ICCS_2009_G9","ICCS_2009_G9_student_reliability","student","-","-","-","-"
"ICCS","-","2016","-","ICGC3","ICCS_2016","ICCS_2016_school","school","IDCNTRY;IDSCHOOL","-","-","-"
"ICCS","-","2016","-","ISAC3","ICCS_2016","ICCS_2016_student_achievement","student","IDCNTRY;IDSTUD","ISGC3","ISEC3;ISLC3","ICGC3"
"ICCS","-","2016","-","ISEC3","ICCS_2016","ICCS_2016_student_european","student","IDCNTRY;IDSTUD","-","-","-"
"ICCS","-","2016","-","ISGC3","ICCS_2016","ICCS_2016_student_background","student","IDCNTRY;IDSTUD","-","-","-"
"ICCS","-","2016","-","ISLC3","ICCS_2016","ICCS_2016_student_latinamerican","student","IDCNTRY;IDSTUD","-","-","-"
